Model,SDR_Input,Metric,Batch_32_Mean,Batch_32_Std,Batch_32_Count,Batch_64_Mean,Batch_64_Std,Batch_64_Count,Difference,Percentage_Change
ML1,1.0,delta_sdr,2.400992471233781,0.888868404369187,1,2.461865239407137,0.8983777070384299,1,0.060872768173356295,2.535316911763411
ML1,3.0,delta_sdr,5.325491393683253,2.4972203924270486,1,5.471098727775727,2.3462831515416265,1,0.14560733409247462,2.7341577204534486
ML1,5.0,delta_sdr,5.97935205132409,2.8074920306904265,1,6.227975128628527,3.069419630820988,1,0.2486230773044369,4.158027076686024
ML1,7.0,delta_sdr,5.945005627479624,2.700796226761239,1,6.266136092907588,3.1163725914873543,1,0.32113046542796386,5.4016848015013
ML1,1.0,cycles,176.0,0.0,1,176.0,0.0,1,0.0,0.0
ML1,3.0,cycles,176.0,0.0,1,176.0,0.0,1,0.0,0.0
ML1,5.0,cycles,176.0,0.0,1,176.0,0.0,1,0.0,0.0
ML1,7.0,cycles,176.0,0.0,1,176.0,0.0,1,0.0,0.0
ML1,1.0,processing_time,1.5052739024162292,0.1789776039009326,1,2.525637376308441,0.2394422020863528,1,1.0203634738922118,67.78590077555647
ML1,3.0,processing_time,1.500339901447296,0.1284717110696828,1,2.5897942662239077,0.2558738859379617,1,1.0894543647766117,72.61383661966696
ML1,5.0,processing_time,1.481034564971924,0.1291540568983748,1,2.818315601348877,0.4710319768436894,1,1.337281036376953,90.29370873611607
ML1,7.0,processing_time,1.5627333283424378,0.1759861603042539,1,3.0269036531448363,0.4049640984222557,1,1.4641703248023985,93.6929096121228
