Model,SDR_Input,Metric,Batch_16_Mean,Batch_16_Std,Batch_16_Count,Batch_32_Mean,Batch_32_Std,Batch_32_Count,Difference,Percentage_Change
ML1,1.0,delta_sdr,2.54865739760574,0.6098506080090236,1,2.6061143873615897,0.6011631628282653,1,0.0574569897558499,2.2544022515472717
ML1,3.0,delta_sdr,5.087781095452437,1.6394415571556606,1,5.256149769669169,1.7903797410995943,1,0.1683686742167323,3.3092751252058323
ML1,5.0,delta_sdr,5.324952739327054,1.9572933110400217,1,5.685241109524856,2.3162879316072598,1,0.3602883701978019,6.766038833301151
ML1,7.0,delta_sdr,5.408017859970532,1.8646659762495863,1,5.816759736081332,2.3763754747736927,1,0.40874187611079993,7.5580718609724995
ML1,1.0,cycles,19.0,0.0,1,19.0,0.0,1,0.0,0.0
ML1,3.0,cycles,19.0,0.0,1,19.0,0.0,1,0.0,0.0
ML1,5.0,cycles,19.0,0.0,1,19.0,0.0,1,0.0,0.0
ML1,7.0,cycles,19.0,0.0,1,19.0,0.0,1,0.0,0.0
ML1,1.0,processing_time,0.5939144492149353,0.2120155154533956,1,0.5493353962898254,0.2028116786080527,1,-0.044579052925109885,-7.50597211164615
ML1,3.0,processing_time,0.5261633515357971,0.032359879775681,1,0.4924003839492797,0.0307673210490299,1,-0.03376296758651737,-6.416822359057885
ML1,5.0,processing_time,0.5733021974563599,0.0342849637057811,1,0.5079509735107421,0.0339419604969356,1,-0.06535122394561776,-11.399088340419686
ML1,7.0,processing_time,0.5452014327049255,0.0514876948306841,1,0.5043126106262207,0.028273303182596,1,-0.04088882207870481,-7.499764238667125
