sdr_orig_rounded,duration,mean,std,Dataset,Metric
1.0,1.0,7.541963591575622,1.9196513125236083,Bird,processing_time
1.0,2.0,17.340786905288695,4.12007783446233,Bird,processing_time
1.0,4.0,32.25524482488632,7.102742133427275,Bird,processing_time
1.0,8.0,65.07212882041931,15.939736167877342,Bird,processing_time
3.0,1.0,8.275026347637176,1.2332114569525803,Bird,processing_time
3.0,2.0,16.097734730243683,2.519830638866952,Bird,processing_time
3.0,4.0,31.31710946083069,4.1736375800627545,Bird,processing_time
3.0,8.0,61.49396094560623,8.197580174197014,Bird,processing_time
5.0,1.0,8.107725751399993,0.8835085699359468,Bird,processing_time
5.0,2.0,16.128738932609558,1.7797168900947549,Bird,processing_time
5.0,4.0,32.80752930879593,3.6413563287915753,Bird,processing_time
5.0,8.0,65.1144941663742,7.696566440661916,Bird,processing_time
7.0,1.0,8.567377007007599,0.9623177878599305,Bird,processing_time
7.0,2.0,16.89950637817383,1.7714600070410205,Bird,processing_time
7.0,4.0,33.21594490766525,3.5793732186615297,Bird,processing_time
7.0,8.0,65.70790311574936,7.680218002820913,Bird,processing_time
1.0,1.0,2.282828588485718,0.812241309948996,Heart,processing_time
1.0,2.0,4.078567581176758,1.6299091684680143,Heart,processing_time
1.0,4.0,8.685493421554565,3.617720862055857,Heart,processing_time
1.0,8.0,14.094824001789092,5.747483240114311,Heart,processing_time
3.0,1.0,2.877759032249451,0.8766306023342996,Heart,processing_time
3.0,2.0,5.4421063947677615,1.7795853070472414,Heart,processing_time
3.0,4.0,9.81383313894272,2.9363456724732133,Heart,processing_time
3.0,8.0,19.148609936237335,5.6967683156061995,Heart,processing_time
5.0,1.0,3.231588935852051,1.1222761216397188,Heart,processing_time
5.0,2.0,5.653655695915222,1.5506915124251492,Heart,processing_time
5.0,4.0,10.170403521060944,2.576755535918951,Heart,processing_time
5.0,8.0,20.734202349185942,4.977604985333191,Heart,processing_time
7.0,1.0,3.2764972329139708,1.054179959999537,Heart,processing_time
7.0,2.0,5.223826484680176,1.1066111288537106,Heart,processing_time
7.0,4.0,9.662668333053588,1.9134458883963235,Heart,processing_time
7.0,8.0,20.499752593040466,4.069381894203197,Heart,processing_time
1.0,1.0,1.9056380657439536,0.8150850271285058,Lung,processing_time
1.0,2.0,3.2061986821763058,1.1136793841466632,Lung,processing_time
1.0,4.0,5.451892231373077,1.7474039719123138,Lung,processing_time
1.0,8.0,10.492284237070287,3.1384035780142114,Lung,processing_time
3.0,1.0,2.6507339832630565,1.2294627199470423,Lung,processing_time
3.0,2.0,4.147823442804053,1.843014580098795,Lung,processing_time
3.0,4.0,6.403983943005826,2.111190995105024,Lung,processing_time
3.0,8.0,11.958346306009496,3.7944430825202478,Lung,processing_time
5.0,1.0,2.6328957664205674,1.0911245708816308,Lung,processing_time
5.0,2.0,4.360935320245459,1.8706739163007384,Lung,processing_time
5.0,4.0,7.3708691749166935,2.6443639686713736,Lung,processing_time
5.0,8.0,12.276989505646076,4.180547614838432,Lung,processing_time
7.0,1.0,2.382491613956208,0.9008867489982944,Lung,processing_time
7.0,2.0,4.203318339713077,1.5996545315670614,Lung,processing_time
7.0,4.0,7.5650909860083395,2.8153910165875247,Lung,processing_time
7.0,8.0,13.912990575141094,5.148390537219371,Lung,processing_time
1.0,1.0,26.397207427024842,6.632223147834157,Speech,processing_time
1.0,2.0,45.88612506866455,7.932253368105838,Speech,processing_time
1.0,4.0,84.12100361824035,15.242441713952246,Speech,processing_time
1.0,8.0,138.85453930854797,18.79343993956378,Speech,processing_time
3.0,1.0,22.286089537143706,4.263305097606932,Speech,processing_time
3.0,2.0,43.29410664558411,5.763301149585075,Speech,processing_time
3.0,4.0,88.66535179376602,11.093839200931532,Speech,processing_time
3.0,8.0,169.71279304504395,19.30710548937723,Speech,processing_time
5.0,1.0,23.431625628471373,4.16159025386688,Speech,processing_time
5.0,2.0,46.720998513698575,5.645546697192245,Speech,processing_time
5.0,4.0,93.5764036655426,9.956638380173914,Speech,processing_time
5.0,8.0,188.22655987501145,18.53984183604999,Speech,processing_time
7.0,1.0,24.35191654920578,4.03435822950731,Speech,processing_time
7.0,2.0,49.18433115005493,5.43282719368613,Speech,processing_time
7.0,4.0,98.78529357671738,9.40927604981603,Speech,processing_time
7.0,8.0,196.31626202106474,17.182445029768957,Speech,processing_time
